V1,V2,V3
-115.522459572769,-8,-4106
-115.455779596726,-8,-3841
-115.389099620683,-8,-3842
-115.32241964464,-8,-4076
-115.255739668597,-8,-4214
-115.189059692553,-8,-4060
-115.12237971651,-8,-3864
-115.055699740467,-8,-3966
-114.989019764424,-8,-4148
-114.922339788381,-8,-4138
-114.855659812338,-8,-4216
-114.788979836295,-8,-4232
-114.722299860252,-8,-4032
-114.655619884208,-8,-4019
-114.588939908165,-8,-3973
-114.522259932122,-8,-3759
-114.455579956079,-8,-3356
-114.388899980036,-8,-3515
-114.322220003993,-8,-4282
-114.25554002795,-8,-4322
-114.188860051907,-8,-3915
-114.122180075863,-8,-3817
-114.05550009982,-8,-3705
-113.988820123777,-8,-3710
-113.922140147734,-8,-3769
-113.855460171691,-8,-4079
-113.788780195648,-8,-4151
-113.722100219605,-8,-3871
-113.655420243562,-8,-3872
-113.588740267518,-8,-3851
-113.522060291475,-8,-3864
-113.455380315432,-8,-3971
-113.388700339389,-8,-3952
-113.322020363346,-8,-3977
-113.255340387303,-8,-3794
-113.18866041126,-8,-3530
-113.121980435217,-8,-3484
-113.055300459173,-8,-3477
-112.98862048313,-8,-3384
-112.921940507087,-8,-3518
-112.855260531044,-8,-3621
-112.788580555001,-8,-3692
-112.721900578958,-8,-3694
-112.655220602915,-8,-3645
-112.588540626872,-8,-3597
-112.521860650829,-8,-3628
-112.455180674785,-8,-3598
-112.388500698742,-8,-3505
-112.321820722699,-8,-3571
-112.255140746656,-8,-3545
-112.188460770613,-8,-3526
-112.12178079457,-8,-3575
-112.055100818527,-8,-3527
-111.988420842484,-8,-3475
-111.92174086644,-8,-3496
-111.855060890397,-8,-3548
-111.788380914354,-8,-3416
-111.721700938311,-8,-3351
-111.655020962268,-8,-3409
-111.588340986225,-8,-3458
-111.521661010182,-8,-3443
-111.454981034139,-8,-3397
-111.388301058095,-8,-3420
-111.321621082052,-8,-3411
-111.254941106009,-8,-3430
-111.188261129966,-8,-3418
